module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
formally-bmad,formally-bmad-setup,Setup Formally BMAD,SU,Configure module state and verify automated reasoning tools,configure,[--headless],0-setup,,formally-bmad-agent-steward:steward,true,formally_bmad_project_root,setup report and initialized project state
formally-bmad,formally-bmad-agent-steward,Canonical Model Steward,ST,Maintain canonical model validation provenance and status,steward,[--headless] [task],1-steward,formally-bmad-setup:configure,formally-bmad-formal-import:import,false,formally_bmad_canonical_model_path,canonical model status provenance and validation records
formally-bmad,formally-bmad-formal-import,Formal Import,IM,Formalize existing BMad artifacts into candidate canonical model deltas,import,[--headless] [path],2-import,formally-bmad-agent-steward:steward,formally-bmad-ontology-alignment:align,false,formally_bmad_project_root,import report formal companions candidate deltas provenance
formally-bmad,formally-bmad-ontology-alignment,Ontology Alignment,OA,Align project concepts with external ontology repositories,align,[--headless] [concept],3-alignment,formally-bmad-formal-import:import,formally-bmad-formal-brainstorming:brainstorm,false,formally_bmad_project_root,ontology alignment report mappings external provenance
formally-bmad,formally-bmad-formal-brainstorming,Formal Brainstorming,FB,Capture brainstorming as provisional formal concepts and alternatives,brainstorm,[--headless] [brief],4-discovery,formally-bmad-ontology-alignment:align,formally-bmad-formal-prd:prd,false,formally_bmad_project_root,brainstorm artifact formal companions provisional deltas
formally-bmad,formally-bmad-dsl-brainstorming,DSL Brainstorming,DB,Run the parallel DSL branch with canonical assertions ontology ASM and delta validation,dsl-brainstorm,[--headless] [brief],4b-dsl-discovery,formally-bmad-agent-steward:steward,formally-bmad-dsl-prd:dsl-prd,false,formally_bmad_project_root,dsl brainstorm artifact canonical DSL ontology ASM deltas increment validation
formally-bmad,formally-bmad-formal-prd,Formal PRD,PR,Create readable PRD with formal requirements and verification obligations,prd,[--headless] [source],5-requirements,formally-bmad-formal-brainstorming:brainstorm,formally-bmad-formal-architecture:architecture,false,formally_bmad_project_root,PRD formal companions requirement deltas verification obligations
formally-bmad,formally-bmad-dsl-prd,DSL PRD,DP,Create PRDs grounded in accepted DSL assertions deltas and validation state,dsl-prd,[--headless] [source],5b-dsl-requirements,formally-bmad-dsl-brainstorming:dsl-brainstorm,formally-bmad-dsl-architecture:dsl-architecture,false,formally_bmad_project_root,dsl PRD accepted deltas validation posture verification obligations
formally-bmad,formally-bmad-formal-architecture,Formal Architecture,AR,Create architecture aligned to accepted formal PRD commitments,architecture,[--headless] [source],6-architecture,formally-bmad-formal-prd:prd,formally-bmad-formal-epics:epics,false,formally_bmad_project_root,architecture artifact formal companions PRD alignment implementation constraints
formally-bmad,formally-bmad-dsl-architecture,DSL Architecture,DA,Refine the accepted DSL baseline into architecture with architecture-level deltas,dsl-architecture,[--headless] [source],6b-dsl-architecture,formally-bmad-dsl-prd:dsl-prd,formally-bmad-dsl-epics:dsl-epics,false,formally_bmad_project_root,dsl architecture artifact design decisions architecture deltas ontology and ASM refinement
formally-bmad,formally-bmad-formal-epics,Formal Epics,EP,Map requirements and architecture constraints into formal epics,epics,[--headless] [source],7-epics,formally-bmad-formal-architecture:architecture,formally-bmad-formal-stories:stories,false,formally_bmad_project_root,epics formal companions coverage map story obligations
formally-bmad,formally-bmad-dsl-epics,DSL Epics,DE,Map accepted DSL requirements and architecture context into evidence-aware epics,dsl-epics,[--headless] [source],7b-dsl-epics,formally-bmad-dsl-architecture:dsl-architecture,formally-bmad-dsl-stories:dsl-stories,false,formally_bmad_project_root,dsl epics coverage map accepted delta lineage validation posture story obligations
formally-bmad,formally-bmad-formal-stories,Formal Stories,FS,Create stories with formal acceptance criteria and readiness status,stories,[--headless] [source],8-stories,formally-bmad-formal-epics:epics,formally-bmad-formal-contracts:contracts,false,formally_bmad_project_root,story formal companions readiness blockers repair proposals
formally-bmad,formally-bmad-dsl-stories,DSL Stories,DS,Create stories that preserve DSL evidence posture delta lineage and readiness blockers,dsl-stories,[--headless] [source],8b-dsl-stories,formally-bmad-dsl-epics:dsl-epics,formally-bmad-dsl-verification:dsl-verify,false,formally_bmad_project_root,dsl stories acceptance criteria alignment blockers readiness delta lineage
formally-bmad,formally-bmad-formal-contracts,Formal Contracts,FC,Derive language-aware code contracts from accepted formal obligations,contracts,[--headless] [source],9-contracts,formally-bmad-formal-stories:stories,formally-bmad-contract-stubs:contract-stubs,false,formally_bmad_project_root,contract inventory language profile implementation mapping exported tool views
formally-bmad,formally-bmad-contract-stubs,Contract Stubs,CS,Generate reviewable code skeletons with accepted contracts,contract-stubs,[--headless] [scope],10-contract-stubs,formally-bmad-formal-contracts:contracts,formally-bmad-code-verification:code-verify,false,formally_bmad_project_root,contract-bearing stubs file plan review checklist provenance
formally-bmad,formally-bmad-code-verification,Code Verification,CV,Verify implementation against generated contracts and collect evidence,code-verify,[--headless] [scope],11-code-verification,formally-bmad-contract-stubs:contract-stubs,formally-bmad-formal-verification:verify,false,formally_bmad_project_root,code verification reports tool runs coverage counterexamples readiness
formally-bmad,formally-bmad-formal-verification,Formal Verification,FV,Run checkpoint verification readiness traceability and repair reports,verify,[--headless] [scope],12-verification,formally-bmad-code-verification:code-verify,,false,formally_bmad_project_root,verification reports readiness traceability coverage repair review
formally-bmad,formally-bmad-dsl-verification,DSL Verification,DV,Run checkpoint verification over the DSL baseline deltas rechecks and readiness,dsl-verify,[--headless] [scope],12b-dsl-verification,formally-bmad-dsl-stories:dsl-stories,,false,formally_bmad_project_root,dsl verification reports baseline audits increment validation rechecks readiness
