module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
formally-bmad-dsl,formally-bmad-dsl-setup,Setup DSL Formally BMAD,DU,Configure isolated DSL branch state and verify automated reasoning tools,dsl-configure,[--headless],0-dsl-setup,,formally-bmad-dsl-agent-steward:dsl-steward,true,formally_bmad_dsl_project_root,DSL setup report and initialized project state
formally-bmad-dsl,formally-bmad-dsl-agent-steward,DSL Canonical Model Steward,DT,Maintain DSL canonical model validation provenance and status,dsl-steward,[--headless] [task],1-dsl-steward,formally-bmad-dsl-setup:dsl-configure,formally-bmad-dsl-brainstorming:dsl-brainstorming,false,formally_bmad_dsl_canonical_model_path,DSL canonical model status provenance and validation records
formally-bmad-dsl,formally-bmad-dsl-brainstorming,DSL Brainstorming,DB,Run the isolated DSL branch with canonical assertions ontology ASM and delta validation,dsl-brainstorming,[--headless] [brief],4b-dsl-discovery,formally-bmad-dsl-agent-steward:dsl-steward,formally-bmad-dsl-prd:dsl-prd,false,formally_bmad_dsl_project_root,dsl brainstorm artifact canonical DSL ontology ASM deltas increment validation
formally-bmad-dsl,formally-bmad-dsl-prd,DSL PRD,DP,Create PRDs grounded in accepted DSL assertions deltas and validation state,dsl-prd,[--headless] [source],5b-dsl-requirements,formally-bmad-dsl-brainstorming:dsl-brainstorming,formally-bmad-dsl-architecture:dsl-architecture,false,formally_bmad_dsl_project_root,dsl PRD accepted deltas validation posture verification obligations
formally-bmad-dsl,formally-bmad-dsl-architecture,DSL Architecture,DA,Refine the accepted DSL baseline into architecture with architecture-level deltas,dsl-architecture,[--headless] [source],6b-dsl-architecture,formally-bmad-dsl-prd:dsl-prd,formally-bmad-dsl-epics:dsl-epics,false,formally_bmad_dsl_project_root,dsl architecture artifact design decisions architecture deltas ontology and ASM refinement
formally-bmad-dsl,formally-bmad-dsl-epics,DSL Epics,DE,Map accepted DSL requirements and architecture context into evidence-aware epics,dsl-epics,[--headless] [source],7b-dsl-epics,formally-bmad-dsl-architecture:dsl-architecture,formally-bmad-dsl-stories:dsl-stories,false,formally_bmad_dsl_project_root,dsl epics coverage map accepted delta lineage validation posture story obligations
formally-bmad-dsl,formally-bmad-dsl-stories,DSL Stories,DS,Create stories that preserve DSL evidence posture delta lineage and readiness blockers,dsl-stories,[--headless] [source],8b-dsl-stories,formally-bmad-dsl-epics:dsl-epics,formally-bmad-dsl-contracts:dsl-contracts,false,formally_bmad_dsl_project_root,dsl stories acceptance criteria alignment blockers readiness delta lineage
formally-bmad-dsl,formally-bmad-dsl-contracts,DSL Contracts,DC,Derive per-story Hoare-style implementation contracts from the accepted DSL baseline,dsl-contracts,[--headless] [source],9b-dsl-contracts,formally-bmad-dsl-stories:dsl-stories,formally-bmad-dsl-contract-stubs:dsl-contract-stubs,false,formally_bmad_dsl_project_root,dsl contract inventories grounding audits implementation mappings exported tool views
formally-bmad-dsl,formally-bmad-dsl-contract-stubs,DSL Contract Stubs,DX,Generate contract-bearing source-tree scaffolds and require scaffold review before implementation,dsl-contract-stubs,[--headless] [source],10b-dsl-contract-stubs,formally-bmad-dsl-contracts:dsl-contracts,formally-bmad-implementation-contracts:implementation-contracts,false,formally_bmad_dsl_scaffold_root,dsl scaffold files review checklist contract surface mappings
formally-bmad-dsl,formally-bmad-implementation-contracts,Implementation Contracts,DI,Implement approved scaffolds while preserving contracts and adding body-level proof obligations,implementation-contracts,[--headless] [source],11b-dsl-implementation,formally-bmad-dsl-contract-stubs:dsl-contract-stubs,formally-bmad-code-verification:code-verification,false,formally_bmad_dsl_scaffold_root,implemented code preserving scaffold contracts and added proof obligations
formally-bmad-dsl,formally-bmad-code-verification,Code Verification,CV,Verify implementation artifacts against generated contracts and classify evidence strength,code-verification,[--headless] [scope],11c-dsl-code-verification,formally-bmad-implementation-contracts:implementation-contracts,formally-bmad-dsl-verification:dsl-verification,false,formally_bmad_dsl_project_root,code verification reports contract coverage evidence classifications counterexamples readiness
formally-bmad-dsl,formally-bmad-dsl-verification,DSL Verification,DV,Run checkpoint verification over the DSL baseline deltas contracts stubs and readiness,dsl-verification,[--headless] [scope],12b-dsl-verification,formally-bmad-code-verification:code-verification,,false,formally_bmad_dsl_project_root,dsl verification reports baseline audits increment validation rechecks readiness
